idproduto;mes;qtd
37088;ago;59
37089;ago;100
37090;ago;78
37091;ago;42
37790;ago;39
37791;ago;67
37792;ago;52
37793;ago;28
37165;ago;41
37166;ago;69
37167;ago;59
37168;ago;35
37169;ago;27
37170;ago;46
37171;ago;39
37172;ago;23
36037;ago;34
36038;ago;60
36039;ago;58
36040;ago;36
37117;ago;112
37118;ago;172
37119;ago;135
37834;ago;47
37120;ago;112
37121;ago;172
37122;ago;135
37835;ago;47
37096;ago;160
37097;ago;244
37098;ago;195
37099;ago;98
37806;ago;107
37807;ago;163
37808;ago;130
37809;ago;65
37173;ago;45
37174;ago;73
37175;ago;49
37176;ago;37
37177;ago;60
37178;ago;40
37836;ago;47
37837;ago;39
37346;ago;82
37347;ago;194
37348;ago;116
37349;ago;43
37350;ago;89
37351;ago;210
37352;ago;126
37353;ago;47
37034;ago;51
37035;ago;79
37036;ago;62
37838;ago;21
37031;ago;47
37032;ago;73
37033;ago;57
37839;ago;20
36033;ago;52
36034;ago;84
36035;ago;74
36036;ago;37
37021;ago;102
37022;ago;166
37023;ago;150
37024;ago;86
37025;ago;37
37026;ago;110
37027;ago;180
37028;ago;162
37029;ago;93
37030;ago;41
37052;ago;102
37053;ago;163
37054;ago;130
37055;ago;65
37056;ago;102
37057;ago;163
37058;ago;130
37059;ago;65
37362;ago;167
37363;ago;258
37364;ago;202
37794;ago;70
37796;ago;112
37797;ago;172
37798;ago;135
37799;ago;47
36953;ago;75
36954;ago;120
36955;ago;96
36956;ago;50
36957;ago;80
36958;ago;64
37818;ago;32
37819;ago;48
37410;ago;118
37411;ago;182
37412;ago;143
37413;ago;49
37406;ago;97
37407;ago;149
37408;ago;117
37409;ago;40
38030;ago;6
38031;ago;7
38032;ago;15
38033;ago;16
38034;ago;16
38035;ago;17
38036;ago;12
38037;ago;12
38038;ago;11
37039;ago;92
37040;ago;109
37041;ago;85
37042;ago;54
37043;ago;85
37044;ago;100
37045;ago;78
37046;ago;50
37064;ago;61
37065;ago;89
37066;ago;61
37067;ago;43
37068;ago;61
37069;ago;89
37070;ago;61
37071;ago;43
37483;ago;61
37484;ago;72
37485;ago;56
37486;ago;36
37487;ago;50
37488;ago;59
37489;ago;46
37490;ago;29
37400;ago;42
37401;ago;85
37402;ago;100
37403;ago;75
37394;ago;39
37395;ago;78
37396;ago;92
37397;ago;70
37784;ago;28
37785;ago;57
37786;ago;67
37787;ago;51
37013;ago;43
37014;ago;85
37015;ago;100
37016;ago;76
36997;ago;14
36998;ago;28
36999;ago;33
37000;ago;25
37001;ago;21
37002;ago;43
37003;ago;50
37004;ago;38
38021;ago;8
38022;ago;7
38023;ago;16
38024;ago;13
38025;ago;18
38026;ago;13
38027;ago;16
38028;ago;12
38029;ago;13
37374;ago;32
37375;ago;30
37376;ago;23
37378;ago;30
37379;ago;28
37380;ago;21
38343;ago;30
38344;ago;28
36971;ago;43
36972;ago;51
36973;ago;40
36974;ago;25
36975;ago;29
36976;ago;34
36977;ago;26
36978;ago;17
38014;ago;9
38015;ago;33
38016;ago;16
38017;ago;34
38018;ago;17
38019;ago;30
38020;ago;16
38384;ago;36
38385;ago;63
38386;ago;63
38387;ago;18
38380;ago;36
38381;ago;63
38382;ago;63
38383;ago;18
37661;ago;40
37662;ago;45
37663;ago;34
37664;ago;18
37669;ago;40
37670;ago;45
37671;ago;34
37672;ago;18
37491;ago;61
37492;ago;69
37493;ago;52
37494;ago;27
37495;ago;50
37496;ago;56
37497;ago;43
37498;ago;22
37009;ago;90
37010;ago;96
37011;ago;73
37012;ago;35
37800;ago;60
37801;ago;64
37802;ago;49
37803;ago;23
37623;ago;62
37624;ago;71
37625;ago;60
37626;ago;37
37627;ago;76
37628;ago;87
37629;ago;73
37630;ago;45
37610;ago;62
37611;ago;86
37612;ago;55
37613;ago;36
37614;ago;57
37615;ago;79
37616;ago;51
37617;ago;33
37637;ago;33
37638;ago;46
37639;ago;29
37640;ago;19
37641;ago;33
37642;ago;46
37643;ago;29
37644;ago;19
37850;ago;254
37851;ago;169
37598;ago;88
37599;ago;75
37600;ago;88
37601;ago;75
38291;ago;88
38292;ago;75
37544;ago;53
37545;ago;38
37546;ago;26
37815;ago;35
37816;ago;25
37817;ago;17
37890;ago;41
37891;ago;27
37892;ago;28
37893;ago;47
37894;ago;44
37895;ago;34
37903;ago;46
37904;ago;31
37905;ago;23
37896;ago;52
37897;ago;34
37898;ago;30
37440;ago;63
37441;ago;45
37442;ago;31
37694;ago;63
37695;ago;45
37696;ago;31
36862;ago;83
36863;ago;59
36864;ago;50
36865;ago;68
36866;ago;49
36867;ago;41
37880;ago;40
37881;ago;53
37882;ago;40
37883;ago;28
37884;ago;26
37499;ago;26
37500;ago;27
37501;ago;22
37502;ago;15
37507;ago;22
37508;ago;22
37509;ago;18
37510;ago;13
37870;ago;30
37871;ago;30
37872;ago;29
37873;ago;21
37874;ago;15
37886;ago;18
37887;ago;16
37888;ago;12
37889;ago;9
37464;ago;22
37465;ago;23
37466;ago;18
37467;ago;13
37688;ago;22
37689;ago;23
37690;ago;18
37691;ago;13
37417;ago;29
37418;ago;30
37419;ago;24
37420;ago;17
37810;ago;19
37811;ago;20
37812;ago;16
37813;ago;11
37875;ago;27
37876;ago;30
37877;ago;25
37878;ago;18
38441;ago;19
38442;ago;39
38443;ago;35
38444;ago;21
38437;ago;50
38438;ago;99
38439;ago;90
38440;ago;53
38449;ago;22
38450;ago;43
38451;ago;39
38452;ago;23
38461;ago;15
38462;ago;30
38463;ago;28
38464;ago;16
38457;ago;26
38458;ago;52
38459;ago;47
38460;ago;27
38433;ago;37
38434;ago;73
38435;ago;67
38436;ago;39
38453;ago;26
38454;ago;52
38455;ago;47
38456;ago;27
38445;ago;22
38446;ago;43
38447;ago;39
38448;ago;23
