idproduto;mes;qtd
36160;mai;7
36049;mai;9
36050;mai;17
36051;mai;17
36052;mai;10
35758;mai;11
35759;mai;20
35760;mai;20
35761;mai;14
34919;mai;14
34920;mai;17
34921;mai;13
34916;mai;6
34917;mai;7
34918;mai;6
36105;mai;17
36106;mai;31
36107;mai;27
36108;mai;18
36113;mai;7
36114;mai;14
36115;mai;13
36116;mai;10
36681;mai;20
36682;mai;26
36683;mai;24
36684;mai;13
35414;mai;29
35415;mai;41
35416;mai;33
35417;mai;19
36060;mai;20
36061;mai;26
36062;mai;22
36063;mai;14
35846;mai;20
35847;mai;26
35848;mai;25
35849;mai;14
35912;mai;39
35913;mai;46
35914;mai;36
35915;mai;20
35916;mai;27
35917;mai;34
35918;mai;29
35919;mai;18
36121;mai;17
36122;mai;22
36123;mai;19
36124;mai;9
36125;mai;9
36126;mai;10
36127;mai;9
36128;mai;4
36250;mai;28
36251;mai;31
36252;mai;25
36253;mai;10
36246;mai;34
36247;mai;39
36248;mai;30
36249;mai;10
36167;mai;53
36168;mai;36
36169;mai;49
36170;mai;33
36171;mai;42
36172;mai;27
35408;mai;10
35409;mai;9
35410;mai;8
35411;mai;27
35412;mai;21
35413;mai;12
35163;mai;15
35164;mai;9
35165;mai;7
35172;mai;42
35173;mai;35
35174;mai;28
35166;mai;31
35167;mai;22
35168;mai;14
35169;mai;24
35170;mai;19
35171;mai;18
36095;mai;24
35947;mai;27
35948;mai;18
35949;mai;10
36096;mai;20
35944;mai;19
35945;mai;14
35946;mai;8
35140;mai;28
35141;mai;34
35142;mai;28
35143;mai;19
35144;mai;15
36089;mai;11
35920;mai;12
35921;mai;7
35922;mai;6
35923;mai;4
36090;mai;20
35924;mai;25
35925;mai;17
35926;mai;10
35927;mai;7
36565;mai;18
36566;mai;21
36567;mai;17
36568;mai;12
36569;mai;8
36560;mai;12
36561;mai;14
36562;mai;12
36563;mai;8
36564;mai;6
35150;mai;14
35151;mai;16
35152;mai;11
35153;mai;10
35154;mai;7
35159;mai;14
35160;mai;10
35161;mai;7
35162;mai;5
36761;mai;3
36763;mai;4
35135;mai;23
35136;mai;27
35137;mai;21
35138;mai;13
