idproduto;mes;qtd
37032;set;64
37033;set;51
37839;set;17
36033;set;46
36034;set;74
36035;set;65
36036;set;33
37021;set;90
37022;set;147
37023;set;132
37024;set;76
37025;set;33
37026;set;97
37027;set;159
37028;set;144
37029;set;82
37030;set;36
37052;set;90
37053;set;144
37054;set;115
37055;set;58
37056;set;90
37057;set;144
37058;set;115
37059;set;58
37362;set;148
37363;set;228
37364;set;179
37794;set;62
37796;set;99
37797;set;152
37798;set;119
37799;set;41
36953;set;67
36954;set;106
36955;set;85
36956;set;44
36957;set;71
36958;set;57
37818;set;28
37819;set;42
37410;set;105
37411;set;161
37412;set;126
37413;set;44
37406;set;86
37407;set;132
37408;set;103
37409;set;36
38030;set;5
38031;set;6
38032;set;13
38033;set;14
38034;set;14
38035;set;15
38036;set;11
38037;set;11
38038;set;10
37039;set;81
37040;set;96
37041;set;75
37042;set;48
37043;set;75
37044;set;89
37045;set;69
37046;set;44
37064;set;54
37065;set;78
37066;set;54
37067;set;38
37068;set;54
37069;set;78
37070;set;54
37071;set;38
37483;set;54
37484;set;64
37485;set;50
37486;set;32
37487;set;44
37488;set;52
37489;set;41
37490;set;26
37400;set;37
37401;set;75
37402;set;88
37403;set;67
37394;set;34
37395;set;69
37396;set;81
37397;set;62
37784;set;25
37785;set;50
37786;set;59
37787;set;45
37013;set;38
37014;set;75
37015;set;89
37016;set;67
36997;set;13
36998;set;25
36999;set;30
37000;set;22
37001;set;19
37002;set;38
37003;set;44
37004;set;34
38021;set;7
38022;set;6
38023;set;14
38024;set;11
38025;set;16
38026;set;11
38027;set;14
38028;set;10
38029;set;11
37374;set;28
37375;set;26
37376;set;20
37378;set;26
37379;set;24
37380;set;19
38343;set;26
38344;set;24
36971;set;38
36972;set;45
36973;set;35
36974;set;22
36975;set;25
36976;set;30
36977;set;23
36978;set;15
38014;set;8
38015;set;29
38016;set;14
38017;set;30
38018;set;15
38019;set;26
38020;set;14
38384;set;32
38385;set;56
38386;set;56
38387;set;16
38380;set;32
38381;set;56
38382;set;56
38383;set;16
37661;set;35
37662;set;40
37663;set;30
37664;set;16
37669;set;35
37670;set;40
37671;set;30
37672;set;16
37491;set;54
37492;set;61
37493;set;46
37494;set;24
37495;set;44
37496;set;50
37497;set;38
37498;set;20
37009;set;80
37010;set;85
37011;set;64
37012;set;31
37800;set;53
37801;set;57
37802;set;43
37803;set;21
37623;set;55
37624;set;63
37625;set;53
37626;set;32
37627;set;67
37628;set;77
37629;set;64
37630;set;40
37610;set;55
37611;set;76
37612;set;48
37613;set;32
37614;set;50
37615;set;70
37616;set;45
37617;set;29
37637;set;29
37638;set;40
37639;set;26
37640;set;17
37641;set;29
37642;set;40
37643;set;26
37644;set;17
37850;set;224
37851;set;150
37598;set;78
37599;set;66
37600;set;78
37601;set;66
38291;set;78
38292;set;66
37544;set;47
37545;set;33
37546;set;23
37815;set;31
37816;set;22
37817;set;15
37890;set;36
37891;set;23
37892;set;24
37893;set;42
37894;set;38
37895;set;30
37903;set;41
37904;set;28
37905;set;20
37896;set;46
37897;set;30
37898;set;27
37440;set;56
37441;set;39
37442;set;27
37694;set;56
37695;set;39
37696;set;27
36862;set;73
36863;set;53
36864;set;44
36865;set;60
36866;set;43
36867;set;36
37880;set;35
37881;set;47
37882;set;35
37883;set;25
37884;set;23
37499;set;23
37500;set;24
37501;set;19
37502;set;14
37507;set;19
37508;set;20
37509;set;16
37510;set;11
37870;set;26
37871;set;26
37872;set;25
37873;set;19
37874;set;13
37886;set;16
37887;set;14
37888;set;11
37889;set;8
37464;set;20
37465;set;20
37466;set;16
37467;set;11
37688;set;20
37689;set;20
37690;set;16
37691;set;11
37417;set;25
37418;set;26
37419;set;21
37420;set;15
37810;set;17
37811;set;17
37812;set;14
37813;set;10
37875;set;24
37876;set;26
37877;set;22
37878;set;16
38441;set;17
38442;set;34
38443;set;31
38444;set;18
38437;set;44
38438;set;88
38439;set;80
38440;set;46
38449;set;19
38450;set;38
38451;set;35
38452;set;20
38461;set;13
38462;set;27
38463;set;24
38464;set;14
38457;set;23
38458;set;46
38459;set;42
38460;set;24
38433;set;32
38434;set;65
38435;set;59
38436;set;34
38453;set;23
38454;set;46
38455;set;42
38456;set;24
38445;set;19
38446;set;38
38447;set;35
38448;set;20
