idproduto;mes;qtd
37032;out;42
37033;out;33
37839;out;11
36033;out;30
36034;out;48
36035;out;42
36036;out;21
37021;out;58
37022;out;95
37023;out;86
37024;out;49
37025;out;21
37026;out;63
37027;out;103
37028;out;93
37029;out;53
37030;out;23
37052;out;59
37053;out;93
37054;out;75
37055;out;37
37056;out;59
37057;out;93
37058;out;75
37059;out;37
37362;out;96
37363;out;148
37364;out;116
37794;out;40
37796;out;64
37797;out;99
37798;out;77
37799;out;27
36953;out;43
36954;out;69
36955;out;55
36956;out;29
36957;out;46
36958;out;37
37818;out;18
37819;out;27
37410;out;68
37411;out;104
37412;out;82
37413;out;28
37406;out;55
37407;out;85
37408;out;67
37409;out;23
38030;out;3
38031;out;4
38032;out;8
38033;out;9
38034;out;9
38035;out;10
38036;out;7
38037;out;7
38038;out;6
37039;out;52
37040;out;62
37041;out;49
37042;out;31
37043;out;48
37044;out;57
37045;out;45
37046;out;29
37064;out;35
37065;out;51
37066;out;35
37067;out;25
37068;out;35
37069;out;51
37070;out;35
37071;out;25
37483;out;35
37484;out;41
37485;out;32
37486;out;21
37487;out;28
37488;out;34
37489;out;26
37490;out;17
37400;out;24
37401;out;48
37402;out;57
37403;out;43
37394;out;22
37395;out;45
37396;out;53
37397;out;40
37784;out;16
37785;out;33
37786;out;38
37787;out;29
37013;out;24
37014;out;49
37015;out;58
37016;out;44
36997;out;8
36998;out;16
36999;out;19
37000;out;15
37001;out;12
37002;out;24
37003;out;29
37004;out;22
38021;out;5
38022;out;4
38023;out;9
38024;out;7
38025;out;11
38026;out;7
38027;out;9
38028;out;7
38029;out;7
37374;out;18
37375;out;17
37376;out;13
37378;out;17
37379;out;16
37380;out;12
38343;out;17
38344;out;16
36971;out;25
36972;out;29
36973;out;23
36974;out;15
36975;out;16
36976;out;19
36977;out;15
36978;out;10
38014;out;5
38015;out;19
38016;out;9
38017;out;20
38018;out;10
38019;out;17
38020;out;9
38384;out;21
38385;out;36
38386;out;36
38387;out;10
38380;out;21
38381;out;36
38382;out;36
38383;out;10
37661;out;23
37662;out;26
37663;out;20
37664;out;10
37669;out;23
37670;out;26
37671;out;20
37672;out;10
37491;out;35
37492;out;40
37493;out;30
37494;out;16
37495;out;28
37496;out;32
37497;out;24
37498;out;13
37009;out;52
37010;out;55
37011;out;42
37012;out;20
37800;out;35
37801;out;37
37802;out;28
37803;out;13
37623;out;35
37624;out;41
37625;out;34
37626;out;21
37627;out;43
37628;out;50
37629;out;42
37630;out;26
37610;out;35
37611;out;49
37612;out;31
37613;out;20
37614;out;33
37615;out;45
37616;out;29
37617;out;19
37637;out;19
37638;out;26
37639;out;17
37640;out;11
37641;out;19
37642;out;26
37643;out;17
37644;out;11
37850;out;145
37851;out;97
37598;out;50
37599;out;43
37600;out;50
37601;out;43
38291;out;50
38292;out;43
37544;out;30
37545;out;22
37546;out;15
37815;out;20
37816;out;14
37817;out;10
37890;out;23
37891;out;15
37892;out;16
37893;out;27
37894;out;25
37895;out;19
37903;out;26
37904;out;18
37905;out;13
37896;out;30
37897;out;19
37898;out;17
37440;out;36
37441;out;26
37442;out;18
37694;out;36
37695;out;26
37696;out;18
36862;out;47
36863;out;34
36864;out;29
36865;out;39
36866;out;28
36867;out;23
37880;out;23
37881;out;30
37882;out;23
37883;out;16
37884;out;15
37499;out;15
37500;out;16
37501;out;12
37502;out;9
37507;out;12
37508;out;13
37509;out;10
37510;out;7
37870;out;17
37871;out;17
37872;out;16
37873;out;12
37874;out;9
37886;out;10
37887;out;9
37888;out;7
37889;out;5
37464;out;13
37465;out;13
37466;out;10
37467;out;7
37688;out;13
37689;out;13
37690;out;10
37691;out;7
37417;out;16
37418;out;17
37419;out;14
37420;out;10
37810;out;11
37811;out;11
37812;out;9
37813;out;6
37875;out;15
37876;out;17
37877;out;14
37878;out;10
38441;out;11
38442;out;22
38443;out;20
38444;out;12
38437;out;28
38438;out;57
38439;out;52
38440;out;30
38449;out;12
38450;out;25
38451;out;23
38452;out;13
38461;out;9
38462;out;17
38463;out;16
38464;out;9
38457;out;15
38458;out;30
38459;out;27
38460;out;16
38433;out;21
38434;out;42
38435;out;38
38436;out;22
38453;out;15
38454;out;30
38455;out;27
38456;out;16
38445;out;12
38446;out;25
38447;out;23
38448;out;13
