idproduto;mes;qtd
37088;jul;58
37089;jul;100
37090;jul;78
37091;jul;42
37790;jul;39
37791;jul;67
37792;jul;52
37793;jul;28
37165;jul;40
37166;jul;69
37167;jul;59
37168;jul;34
37169;jul;27
37170;jul;46
37171;jul;39
37172;jul;23
36037;jul;34
36038;jul;60
36039;jul;58
36040;jul;36
37117;jul;111
37118;jul;172
37119;jul;134
37834;jul;46
37120;jul;111
37121;jul;172
37122;jul;134
37835;jul;46
37096;jul;160
37097;jul;243
37098;jul;195
37099;jul;97
37806;jul;107
37807;jul;162
37808;jul;130
37809;jul;65
37173;jul;45
37174;jul;73
37175;jul;49
37176;jul;37
37177;jul;59
37178;jul;40
37836;jul;47
37837;jul;38
37346;jul;82
37347;jul;193
37348;jul;116
37349;jul;43
37350;jul;88
37351;jul;209
37352;jul;126
37353;jul;47
37034;jul;51
37035;jul;79
37036;jul;62
37838;jul;21
37031;jul;47
37032;jul;73
37033;jul;57
37839;jul;20
36033;jul;52
36034;jul;84
36035;jul;74
36036;jul;37
37021;jul;101
37022;jul;165
37023;jul;149
37024;jul;85
37025;jul;37
37026;jul;110
37027;jul;179
37028;jul;162
37029;jul;92
37030;jul;40
37052;jul;102
37053;jul;162
37054;jul;130
37055;jul;65
37056;jul;102
37057;jul;162
37058;jul;130
37059;jul;65
37362;jul;167
37363;jul;257
37364;jul;202
37794;jul;70
37796;jul;111
37797;jul;172
37798;jul;134
37799;jul;46
36953;jul;75
36954;jul;119
36955;jul;96
36956;jul;50
36957;jul;80
36958;jul;64
37818;jul;32
37819;jul;48
37410;jul;118
37411;jul;182
37412;jul;142
37413;jul;49
37406;jul;96
37407;jul;149
37408;jul;117
37409;jul;40
38030;jul;6
38031;jul;7
38032;jul;15
38033;jul;16
38034;jul;16
38035;jul;17
38036;jul;12
38037;jul;12
38038;jul;11
37039;jul;91
37040;jul;108
37041;jul;85
37042;jul;54
37043;jul;84
37044;jul;100
37045;jul;78
37046;jul;50
37064;jul;61
37065;jul;89
37066;jul;61
37067;jul;43
37068;jul;61
37069;jul;89
37070;jul;61
37071;jul;43
37483;jul;61
37484;jul;72
37485;jul;56
37486;jul;36
37487;jul;50
37488;jul;59
37489;jul;46
37490;jul;29
37400;jul;42
37401;jul;84
37402;jul;99
37403;jul;75
37394;jul;39
37395;jul;78
37396;jul;92
37397;jul;69
37784;jul;28
37785;jul;57
37786;jul;67
37787;jul;51
37013;jul;42
37014;jul;85
37015;jul;100
37016;jul;76
36997;jul;14
36998;jul;28
36999;jul;33
37000;jul;25
37001;jul;21
37002;jul;42
37003;jul;50
37004;jul;38
38021;jul;8
38022;jul;7
38023;jul;16
38024;jul;13
38025;jul;18
38026;jul;13
38027;jul;16
38028;jul;11
38029;jul;13
37374;jul;32
37375;jul;30
37376;jul;23
37378;jul;30
37379;jul;27
37380;jul;21
38343;jul;30
38344;jul;27
36971;jul;43
36972;jul;51
36973;jul;40
36974;jul;25
36975;jul;28
36976;jul;34
36977;jul;26
36978;jul;17
38014;jul;9
38015;jul;33
38016;jul;16
38017;jul;34
38018;jul;17
38019;jul;30
38020;jul;16
38384;jul;36
38385;jul;63
38386;jul;63
38387;jul;18
38380;jul;36
38381;jul;63
38382;jul;63
38383;jul;18
37661;jul;40
37662;jul;45
37663;jul;34
37664;jul;18
37669;jul;40
37670;jul;45
37671;jul;34
37672;jul;18
37491;jul;60
37492;jul;69
37493;jul;52
37494;jul;27
37495;jul;49
37496;jul;56
37497;jul;43
37498;jul;22
37009;jul;90
37010;jul;96
37011;jul;73
37012;jul;35
37800;jul;60
37801;jul;64
37802;jul;48
37803;jul;23
37623;jul;62
37624;jul;71
37625;jul;59
37626;jul;37
37627;jul;75
37628;jul;87
37629;jul;73
37630;jul;45
37610;jul;62
37611;jul;85
37612;jul;55
37613;jul;36
37614;jul;57
37615;jul;79
37616;jul;50
37617;jul;33
37637;jul;33
37638;jul;46
37639;jul;29
37640;jul;19
37641;jul;33
37642;jul;46
37643;jul;29
37644;jul;19
37850;jul;253
37851;jul;169
37598;jul;87
37599;jul;75
37600;jul;87
37601;jul;75
38291;jul;87
38292;jul;75
37544;jul;53
37545;jul;38
37546;jul;26
37815;jul;35
37816;jul;25
37817;jul;17
37890;jul;41
37891;jul;26
37892;jul;27
37893;jul;47
37894;jul;43
37895;jul;33
37903;jul;46
37904;jul;31
37905;jul;23
37896;jul;51
37897;jul;34
37898;jul;30
37440;jul;63
37441;jul;45
37442;jul;31
37694;jul;63
37695;jul;45
37696;jul;31
36862;jul;82
36863;jul;59
36864;jul;50
36865;jul;67
36866;jul;49
36867;jul;41
37880;jul;40
37881;jul;53
37882;jul;40
37883;jul;28
37884;jul;26
37499;jul;26
37500;jul;27
37501;jul;22
37502;jul;15
37507;jul;21
37508;jul;22
37509;jul;18
37510;jul;13
37870;jul;30
37871;jul;30
37872;jul;28
37873;jul;21
37874;jul;15
37886;jul;18
37887;jul;16
37888;jul;12
37889;jul;9
37464;jul;22
37465;jul;23
37466;jul;18
37467;jul;13
37688;jul;22
37689;jul;23
37690;jul;18
37691;jul;13
37417;jul;29
37418;jul;30
37419;jul;24
37420;jul;17
37810;jul;19
37811;jul;20
37812;jul;16
37813;jul;11
37875;jul;27
37876;jul;30
37877;jul;25
