idproduto,referencia,curva_abc,ano,mes,qtd
16049,703008,B,2026,7,20
16049,703008,B,2026,8,32
16049,703008,B,2026,9,42
16049,703008,B,2026,10,64
16049,703008,B,2026,11,42
16050,703602,B,2026,7,20
16050,703602,B,2026,8,36
16050,703602,B,2026,9,34
16050,703602,B,2026,10,60
16050,703602,B,2026,11,39
16051,703602,B,2026,7,27
16051,703602,B,2026,8,60
16051,703602,B,2026,9,33
16051,703602,B,2026,10,80
16051,703602,B,2026,11,40
16052,703602,B,2026,7,26
16052,703602,B,2026,8,50
16052,703602,B,2026,9,28
16052,703602,B,2026,10,67
16052,703602,B,2026,11,41
16053,703602,B,2026,7,39
16053,703602,B,2026,8,76
16053,703602,B,2026,9,80
16053,703602,B,2026,10,126
16053,703602,B,2026,11,70
16054,703602,B,2026,7,57
16054,703602,B,2026,8,98
16054,703602,B,2026,9,90
16054,703602,B,2026,10,160
16054,703602,B,2026,11,95
16055,703602,B,2026,7,52
16055,703602,B,2026,8,72
16055,703602,B,2026,9,77
16055,703602,B,2026,10,130
16055,703602,B,2026,11,85
16056,703402,C,2026,7,25
16056,703402,C,2026,8,51
16056,703402,C,2026,9,46
16056,703402,C,2026,10,45
16056,703402,C,2026,11,49
16057,703402,C,2026,7,31
16057,703402,C,2026,8,64
16057,703402,C,2026,9,58
16057,703402,C,2026,10,57
16057,703402,C,2026,11,62
16058,703402,C,2026,7,25
16058,703402,C,2026,8,51
16058,703402,C,2026,9,46
16058,703402,C,2026,10,45
16058,703402,C,2026,11,49
16059,703402,C,2026,7,18
16059,703402,C,2026,8,38
16059,703402,C,2026,9,35
16059,703402,C,2026,10,34
16059,703402,C,2026,11,37
16064,703402,C,2026,7,35
16064,703402,C,2026,8,72
16064,703402,C,2026,9,65
16064,703402,C,2026,10,63
16064,703402,C,2026,11,69
16065,703402,C,2026,7,39
16065,703402,C,2026,8,81
16065,703402,C,2026,9,73
16065,703402,C,2026,10,71
16065,703402,C,2026,11,78
16066,703402,C,2026,7,28
16066,703402,C,2026,8,58
16066,703402,C,2026,9,53
16066,703402,C,2026,10,51
16066,703402,C,2026,11,56
16067,703402,C,2026,7,21
16067,703402,C,2026,8,44
16067,703402,C,2026,9,40
16067,703402,C,2026,10,39
16067,703402,C,2026,11,43
16433,301701,A,2026,7,129
16433,301701,A,2026,8,113
16433,301701,A,2026,9,226
16433,301701,A,2026,10,210
16433,301701,A,2026,11,95
16434,301701,A,2026,7,206
16434,301701,A,2026,8,168
16434,301701,A,2026,9,320
16434,301701,A,2026,10,307
16434,301701,A,2026,11,168
16435,301701,A,2026,7,161
16435,301701,A,2026,8,126
16435,301701,A,2026,9,238
16435,301701,A,2026,10,226
16435,301701,A,2026,11,130
16437,301701,A,2026,7,266
16437,301701,A,2026,8,173
16437,301701,A,2026,9,355
16437,301701,A,2026,10,365
16437,301701,A,2026,11,156
16438,301701,A,2026,7,409
16438,301701,A,2026,8,302
16438,301701,A,2026,9,585
16438,301701,A,2026,10,596
16438,301701,A,2026,11,254
16439,301701,A,2026,7,279
16439,301701,A,2026,8,196
16439,301701,A,2026,9,384
16439,301701,A,2026,10,384
16439,301701,A,2026,11,160
16440,301701,A,2026,7,28
16440,301701,A,2026,8,8
16440,301701,A,2026,9,15
16440,301701,A,2026,10,38
16440,301701,A,2026,11,114
16441,301701,A,2026,7,386
16441,301701,A,2026,8,196
16441,301701,A,2026,9,364
16441,301701,A,2026,10,478
16441,301701,A,2026,11,204
16442,301701,A,2026,7,552
16442,301701,A,2026,8,322
16442,301701,A,2026,9,604
16442,301701,A,2026,10,743
16442,301701,A,2026,11,330
16443,301701,A,2026,7,289
16443,301701,A,2026,8,184
16443,301701,A,2026,9,335
16443,301701,A,2026,10,419
16443,301701,A,2026,11,180
16444,301701,A,2026,7,23
16444,301701,A,2026,8,6
16444,301701,A,2026,9,49
16444,301701,A,2026,10,191
16444,301701,A,2026,11,186
16453,301103,A,2026,7,108
16453,301103,A,2026,8,72
16453,301103,A,2026,9,135
16453,301103,A,2026,10,178
16453,301103,A,2026,11,111
16454,301103,A,2026,7,222
16454,301103,A,2026,8,182
16454,301103,A,2026,9,288
16454,301103,A,2026,10,330
16454,301103,A,2026,11,175
16455,301103,A,2026,7,151
16455,301103,A,2026,8,107
16455,301103,A,2026,9,201
16455,301103,A,2026,10,204
16455,301103,A,2026,11,128
16456,301103,A,2026,7,58
16456,301103,A,2026,8,38
16456,301103,A,2026,9,82
16456,301103,A,2026,10,108
16456,301103,A,2026,11,48
16457,301103,A,2026,7,297
16457,301103,A,2026,8,189
16457,301103,A,2026,9,347
16457,301103,A,2026,10,399
16457,301103,A,2026,11,171
16458,301103,A,2026,7,566
16458,301103,A,2026,8,429
16458,301103,A,2026,9,676
16458,301103,A,2026,10,728
16458,301103,A,2026,11,336
16459,301103,A,2026,7,392
16459,301103,A,2026,8,276
16459,301103,A,2026,9,517
16459,301103,A,2026,10,535
16459,301103,A,2026,11,239
16460,301103,A,2026,7,152
16460,301103,A,2026,8,88
16460,301103,A,2026,9,214
16460,301103,A,2026,10,230
16460,301103,A,2026,11,92
16461,301103,A,2026,7,394
16461,301103,A,2026,8,266
16461,301103,A,2026,9,424
16461,301103,A,2026,10,532
16461,301103,A,2026,11,243
16462,301103,A,2026,7,636
16462,301103,A,2026,8,497
16462,301103,A,2026,9,734
16462,301103,A,2026,10,909
16462,301103,A,2026,11,409
16463,301103,A,2026,7,485
16463,301103,A,2026,8,333
16463,301103,A,2026,9,589
16463,301103,A,2026,10,642
16463,301103,A,2026,11,345
16464,301103,A,2026,7,153
16464,301103,A,2026,8,92
16464,301103,A,2026,9,218
16464,301103,A,2026,10,254
16464,301103,A,2026,11,102
16664,703008,B,2026,7,20
16664,703008,B,2026,8,28
16664,703008,B,2026,9,38
16664,703008,B,2026,10,41
16664,703008,B,2026,11,31
16665,703008,B,2026,7,25
16665,703008,B,2026,8,26
16665,703008,B,2026,9,40
16665,703008,B,2026,10,49
16665,703008,B,2026,11,32
16666,703008,B,2026,7,17
16666,703008,B,2026,8,25
16666,703008,B,2026,9,39
16666,703008,B,2026,10,38
16666,703008,B,2026,11,27
16667,703008,B,2026,7,11
16667,703008,B,2026,8,20
16667,703008,B,2026,9,31
16667,703008,B,2026,10,31
16667,703008,B,2026,11,17
16695,411301,B,2026,7,25
16695,411301,B,2026,8,17
16695,411301,B,2026,9,56
16695,411301,B,2026,10,43
16695,411301,B,2026,11,24
16696,411301,B,2026,7,50
16696,411301,B,2026,8,18
16696,411301,B,2026,9,60
16696,411301,B,2026,10,39
16696,411301,B,2026,11,19
16697,411301,B,2026,7,47
16697,411301,B,2026,8,19
16697,411301,B,2026,9,42
16697,411301,B,2026,10,36
16697,411301,B,2026,11,20
16699,411301,B,2026,7,28
16699,411301,B,2026,8,26
16699,411301,B,2026,9,55
16699,411301,B,2026,10,45
16699,411301,B,2026,11,36
16700,411301,B,2026,7,34
16700,411301,B,2026,8,25
16700,411301,B,2026,9,61
16700,411301,B,2026,10,59
16700,411301,B,2026,11,36
16701,411301,B,2026,7,32
16701,411301,B,2026,8,16
16701,411301,B,2026,9,43
16701,411301,B,2026,10,45
16701,411301,B,2026,11,33
16713,302003,A,2026,7,193
16713,302003,A,2026,8,168
16713,302003,A,2026,9,312
16713,302003,A,2026,10,262
16713,302003,A,2026,11,225
16714,302003,A,2026,7,361
16714,302003,A,2026,8,331
16714,302003,A,2026,9,561
16714,302003,A,2026,10,457
16714,302003,A,2026,11,419
16715,302003,A,2026,7,316
16715,302003,A,2026,8,316
16715,302003,A,2026,9,532
16715,302003,A,2026,10,398
16715,302003,A,2026,11,363
16716,302003,A,2026,7,154
16716,302003,A,2026,8,194
16716,302003,A,2026,9,331
16716,302003,A,2026,10,241
16716,302003,A,2026,11,211
16748,301502,A,2026,7,47
16748,301502,A,2026,8,37
16748,301502,A,2026,9,38
16748,301502,A,2026,10,39
16748,301502,A,2026,11,18
16749,301502,A,2026,7,85
16749,301502,A,2026,8,77
16749,301502,A,2026,9,103
16749,301502,A,2026,10,152
16749,301502,A,2026,11,51
16750,301502,A,2026,7,91
16750,301502,A,2026,8,82
16750,301502,A,2026,9,83
16750,301502,A,2026,10,147
16750,301502,A,2026,11,42
16751,301502,A,2026,7,57
16751,301502,A,2026,8,42
16751,301502,A,2026,9,63
16751,301502,A,2026,10,74
16751,301502,A,2026,11,20
16756,301502,A,2026,7,78
16756,301502,A,2026,8,46
16756,301502,A,2026,9,53
16756,301502,A,2026,10,62
16756,301502,A,2026,11,19
16757,301502,A,2026,7,156
16757,301502,A,2026,8,105
16757,301502,A,2026,9,158
16757,301502,A,2026,10,235
16757,301502,A,2026,11,96
16758,301502,A,2026,7,162
16758,301502,A,2026,8,124
16758,301502,A,2026,9,182
16758,301502,A,2026,10,241
16758,301502,A,2026,11,91
16759,301502,A,2026,7,100
16759,301502,A,2026,8,59
16759,301502,A,2026,9,98
16759,301502,A,2026,10,130
16759,301502,A,2026,11,41
16855,301701,A,2026,7,176
16855,301701,A,2026,8,106
16855,301701,A,2026,9,242
16855,301701,A,2026,10,198
16855,301701,A,2026,11,86
16856,301701,A,2026,7,281
16856,301701,A,2026,8,178
16856,301701,A,2026,9,336
16856,301701,A,2026,10,418
16856,301701,A,2026,11,185
16857,301701,A,2026,7,181
16857,301701,A,2026,8,112
16857,301701,A,2026,9,220
16857,301701,A,2026,10,191
16857,301701,A,2026,11,77
16863,301502,A,2026,7,46
16863,301502,A,2026,8,37
16863,301502,A,2026,9,37
16863,301502,A,2026,10,35
16863,301502,A,2026,11,9
16864,301502,A,2026,7,97
16864,301502,A,2026,8,72
16864,301502,A,2026,9,76
16864,301502,A,2026,10,127
16864,301502,A,2026,11,45
16865,301502,A,2026,7,76
16865,301502,A,2026,8,83
16865,301502,A,2026,9,65
16865,301502,A,2026,10,123
16865,301502,A,2026,11,40
16866,301502,A,2026,7,72
16866,301502,A,2026,8,51
16866,301502,A,2026,9,41
16866,301502,A,2026,10,64
16866,301502,A,2026,11,13
16879,301103,A,2026,7,218
16879,301103,A,2026,8,118
16879,301103,A,2026,9,236
16879,301103,A,2026,10,265
16879,301103,A,2026,11,145
16880,301103,A,2026,7,431
16880,301103,A,2026,8,292
16880,301103,A,2026,9,531
16880,301103,A,2026,10,543
16880,301103,A,2026,11,306
16881,301103,A,2026,7,255
16881,301103,A,2026,8,160
16881,301103,A,2026,9,336
16881,301103,A,2026,10,332
16881,301103,A,2026,11,173
16882,301103,A,2026,7,90
16882,301103,A,2026,8,50
16882,301103,A,2026,9,120
16882,301103,A,2026,10,111
16882,301103,A,2026,11,45
16912,303600,B,2026,7,32
16912,303600,B,2026,8,28
16912,303600,B,2026,9,43
16912,303600,B,2026,10,32
16912,303600,B,2026,11,19
16913,303600,B,2026,7,40
16913,303600,B,2026,8,33
16913,303600,B,2026,9,62
16913,303600,B,2026,10,55
16913,303600,B,2026,11,30
16914,303600,B,2026,7,40
16914,303600,B,2026,8,22
16914,303600,B,2026,9,51
16914,303600,B,2026,10,43
16914,303600,B,2026,11,30
16915,303600,B,2026,7,22
16915,303600,B,2026,8,13
16915,303600,B,2026,9,29
16915,303600,B,2026,10,26
16915,303600,B,2026,11,20
16916,303600,B,2026,7,20
16916,303600,B,2026,8,6
16916,303600,B,2026,9,21
16916,303600,B,2026,10,10
16916,303600,B,2026,11,13
16917,303600,B,2026,7,26
16917,303600,B,2026,8,9
16917,303600,B,2026,9,21
16917,303600,B,2026,10,11
16917,303600,B,2026,11,10
16918,303600,B,2026,7,27
16918,303600,B,2026,8,10
16918,303600,B,2026,9,27
16918,303600,B,2026,10,10
16918,303600,B,2026,11,16
16919,303600,B,2026,7,15
16919,303600,B,2026,8,9
16919,303600,B,2026,9,28
16919,303600,B,2026,10,10
16919,303600,B,2026,11,15
16933,703001,B,2026,7,31
16933,703001,B,2026,8,56
16933,703001,B,2026,9,66
16933,703001,B,2026,10,65
16933,703001,B,2026,11,34
16934,703001,B,2026,7,32
16934,703001,B,2026,8,51
16934,703001,B,2026,9,66
16934,703001,B,2026,10,76
16934,703001,B,2026,11,33
16935,703001,B,2026,7,17
16935,703001,B,2026,8,34
16935,703001,B,2026,9,41
16935,703001,B,2026,10,56
16935,703001,B,2026,11,22
16936,703001,B,2026,7,13
16936,703001,B,2026,8,28
16936,703001,B,2026,9,32
16936,703001,B,2026,10,35
16936,703001,B,2026,11,21
17581,501003,B,2026,7,33
17581,501003,B,2026,8,59
17581,501003,B,2026,9,79
17581,501003,B,2026,10,54
17581,501003,B,2026,11,40
17582,501003,B,2026,7,88
17582,501003,B,2026,8,116
17582,501003,B,2026,9,134
17582,501003,B,2026,10,117
17582,501003,B,2026,11,89
17583,501003,B,2026,7,71
17583,501003,B,2026,8,97
17583,501003,B,2026,9,115
17583,501003,B,2026,10,119
17583,501003,B,2026,11,69
17585,501003,B,2026,7,18
17585,501003,B,2026,8,26
17585,501003,B,2026,9,135
17585,501003,B,2026,10,50
17585,501003,B,2026,11,30
17586,501003,B,2026,7,38
17586,501003,B,2026,8,50
17586,501003,B,2026,9,204
17586,501003,B,2026,10,88
17586,501003,B,2026,11,54
17587,501003,B,2026,7,28
17587,501003,B,2026,8,44
17587,501003,B,2026,9,206
17587,501003,B,2026,10,72
17587,501003,B,2026,11,54
17626,402102,C,2026,7,66
17626,402102,C,2026,8,61
17626,402102,C,2026,9,89
17626,402102,C,2026,10,87
17626,402102,C,2026,11,58
17627,402102,C,2026,7,73
17627,402102,C,2026,8,67
17627,402102,C,2026,9,99
17627,402102,C,2026,10,97
17627,402102,C,2026,11,65
17628,402102,C,2026,7,55
17628,402102,C,2026,8,51
17628,402102,C,2026,9,75
17628,402102,C,2026,10,73
17628,402102,C,2026,11,49
17681,201702,A,2026,7,42
17681,201702,A,2026,8,56
17681,201702,A,2026,9,76
17681,201702,A,2026,10,74
17681,201702,A,2026,11,61
17682,201702,A,2026,7,112
17682,201702,A,2026,8,107
17682,201702,A,2026,9,166
17682,201702,A,2026,10,169
17682,201702,A,2026,11,119
17683,201702,A,2026,7,129
17683,201702,A,2026,8,114
17683,201702,A,2026,9,162
17683,201702,A,2026,10,183
17683,201702,A,2026,11,99
17684,201702,A,2026,7,108
17684,201702,A,2026,8,120
17684,201702,A,2026,9,178
17684,201702,A,2026,10,163
17684,201702,A,2026,11,103
17685,201702,A,2026,7,357
17685,201702,A,2026,8,299
17685,201702,A,2026,9,512
17685,201702,A,2026,10,461
17685,201702,A,2026,11,227
17686,201702,A,2026,7,378
17686,201702,A,2026,8,326
17686,201702,A,2026,9,515
17686,201702,A,2026,10,502
17686,201702,A,2026,11,267
17687,201702,A,2026,7,54
17687,201702,A,2026,8,86
17687,201702,A,2026,9,126
17687,201702,A,2026,10,78
17687,201702,A,2026,11,87
17688,201702,A,2026,7,226
17688,201702,A,2026,8,238
17688,201702,A,2026,9,338
17688,201702,A,2026,10,278
17688,201702,A,2026,11,189
17689,201702,A,2026,7,151
17689,201702,A,2026,8,205
17689,201702,A,2026,9,300
17689,201702,A,2026,10,240
17689,201702,A,2026,11,180
17690,201702,A,2026,7,88
17690,201702,A,2026,8,123
17690,201702,A,2026,9,179
17690,201702,A,2026,10,176
17690,201702,A,2026,11,136
17691,201702,A,2026,7,406
17691,201702,A,2026,8,371
17691,201702,A,2026,9,498
17691,201702,A,2026,10,520
17691,201702,A,2026,11,241
17692,201702,A,2026,7,281
17692,201702,A,2026,8,329
17692,201702,A,2026,9,476
17692,201702,A,2026,10,447
17692,201702,A,2026,11,285
17748,503400,B,2026,7,47
17748,503400,B,2026,8,62
17748,503400,B,2026,9,71
17748,503400,B,2026,10,12
17748,503400,B,2026,11,4
17749,503400,B,2026,7,70
17749,503400,B,2026,8,97
17749,503400,B,2026,9,104
17749,503400,B,2026,10,19
17749,503400,B,2026,11,7
17750,503400,B,2026,7,77
17750,503400,B,2026,8,79
17750,503400,B,2026,9,89
17750,503400,B,2026,10,15
17750,503400,B,2026,11,8
17766,501000,C,2026,7,14
17766,501000,C,2026,8,20
17766,501000,C,2026,9,29
17766,501000,C,2026,10,14
17766,501000,C,2026,11,8
17767,501000,C,2026,7,25
17767,501000,C,2026,8,38
17767,501000,C,2026,9,53
17767,501000,C,2026,10,25
17767,501000,C,2026,11,15
17768,501000,C,2026,7,21
17768,501000,C,2026,8,31
17768,501000,C,2026,9,43
17768,501000,C,2026,10,21
17768,501000,C,2026,11,12
17988,411301,B,2026,7,28
17988,411301,B,2026,8,17
17988,411301,B,2026,9,67
17988,411301,B,2026,10,66
17988,411301,B,2026,11,35
17989,411301,B,2026,7,44
17989,411301,B,2026,8,22
17989,411301,B,2026,9,70
17989,411301,B,2026,10,66
17989,411301,B,2026,11,36
17990,411301,B,2026,7,48
17990,411301,B,2026,8,20
17990,411301,B,2026,9,50
17990,411301,B,2026,10,52
17990,411301,B,2026,11,24
18030,103008,B,2026,7,36
18030,103008,B,2026,8,31
18030,103008,B,2026,9,40
18030,103008,B,2026,10,39
18030,103008,B,2026,11,12
18031,103008,B,2026,7,41
18031,103008,B,2026,8,49
18031,103008,B,2026,9,64
18031,103008,B,2026,10,35
18031,103008,B,2026,11,20
18032,103008,B,2026,7,57
18032,103008,B,2026,8,43
18032,103008,B,2026,9,78
18032,103008,B,2026,10,45
18032,103008,B,2026,11,21
18033,103008,B,2026,7,39
18033,103008,B,2026,8,38
18033,103008,B,2026,9,60
18033,103008,B,2026,10,37
18033,103008,B,2026,11,18
18034,103008,B,2026,7,43
18034,103008,B,2026,8,44
18034,103008,B,2026,9,71
18034,103008,B,2026,10,72
18034,103008,B,2026,11,29
18035,103008,B,2026,7,71
18035,103008,B,2026,8,68
18035,103008,B,2026,9,105
18035,103008,B,2026,10,100
18035,103008,B,2026,11,44
18036,103008,B,2026,7,71
18036,103008,B,2026,8,62
18036,103008,B,2026,9,104
18036,103008,B,2026,10,107
18036,103008,B,2026,11,37
18037,103008,B,2026,7,41
18037,103008,B,2026,8,43
18037,103008,B,2026,9,83
18037,103008,B,2026,10,66
18037,103008,B,2026,11,31
18038,103008,B,2026,7,30
18038,103008,B,2026,8,31
18038,103008,B,2026,9,42
18038,103008,B,2026,10,57
18038,103008,B,2026,11,14
18039,103008,B,2026,7,38
18039,103008,B,2026,8,40
18039,103008,B,2026,9,55
18039,103008,B,2026,10,55
18039,103008,B,2026,11,29
18040,103008,B,2026,7,54
18040,103008,B,2026,8,36
18040,103008,B,2026,9,63
18040,103008,B,2026,10,55
18040,103008,B,2026,11,19
18041,103008,B,2026,7,29
18041,103008,B,2026,8,35
18041,103008,B,2026,9,49
18041,103008,B,2026,10,51
18041,103008,B,2026,11,17
18058,103009,A,2026,7,79
18058,103009,A,2026,8,157
18058,103009,A,2026,9,179
18058,103009,A,2026,10,127
18058,103009,A,2026,11,109
18059,103009,A,2026,7,190
18059,103009,A,2026,8,291
18059,103009,A,2026,9,370
18059,103009,A,2026,10,314
18059,103009,A,2026,11,189
18060,103009,A,2026,7,232
18060,103009,A,2026,8,343
18060,103009,A,2026,9,443
18060,103009,A,2026,10,382
18060,103009,A,2026,11,194
18061,103009,A,2026,7,159
18061,103009,A,2026,8,230
18061,103009,A,2026,9,350
18061,103009,A,2026,10,353
18061,103009,A,2026,11,160
18062,103009,A,2026,7,119
18062,103009,A,2026,8,170
18062,103009,A,2026,9,220
18062,103009,A,2026,10,201
18062,103009,A,2026,11,99
18063,103009,A,2026,7,323
18063,103009,A,2026,8,411
18063,103009,A,2026,9,538
18063,103009,A,2026,10,498
18063,103009,A,2026,11,301
18064,103009,A,2026,7,344
18064,103009,A,2026,8,485
18064,103009,A,2026,9,580
18064,103009,A,2026,10,647
18064,103009,A,2026,11,382
18065,103009,A,2026,7,252
18065,103009,A,2026,8,323
18065,103009,A,2026,9,477
18065,103009,A,2026,10,498
18065,103009,A,2026,11,249
18066,103009,A,2026,7,55
18066,103009,A,2026,8,75
18066,103009,A,2026,9,104
18066,103009,A,2026,10,79
18066,103009,A,2026,11,47
18067,103009,A,2026,7,99
18067,103009,A,2026,8,169
18067,103009,A,2026,9,248
18067,103009,A,2026,10,177
18067,103009,A,2026,11,94
18068,103009,A,2026,7,117
18068,103009,A,2026,8,168
18068,103009,A,2026,9,273
18068,103009,A,2026,10,260
18068,103009,A,2026,11,136
18069,103009,A,2026,7,88
18069,103009,A,2026,8,129
18069,103009,A,2026,9,229
18069,103009,A,2026,10,183
18069,103009,A,2026,11,103
18078,103102,A,2026,7,75
18078,103102,A,2026,8,63
18078,103102,A,2026,9,89
18078,103102,A,2026,10,81
18078,103102,A,2026,11,79
18079,103102,A,2026,7,134
18079,103102,A,2026,8,128
18079,103102,A,2026,9,208
18079,103102,A,2026,10,175
18079,103102,A,2026,11,187
18080,103102,A,2026,7,112
18080,103102,A,2026,8,132
18080,103102,A,2026,9,206
18080,103102,A,2026,10,145
18080,103102,A,2026,11,151
18081,103102,A,2026,7,97
18081,103102,A,2026,8,94
18081,103102,A,2026,9,150
18081,103102,A,2026,10,119
18081,103102,A,2026,11,119
18082,103102,A,2026,7,201
18082,103102,A,2026,8,199
18082,103102,A,2026,9,330
18082,103102,A,2026,10,271
18082,103102,A,2026,11,243
18083,103102,A,2026,7,205
18083,103102,A,2026,8,212
18083,103102,A,2026,9,350
18083,103102,A,2026,10,266
18083,103102,A,2026,11,229
18084,103102,A,2026,7,81
18084,103102,A,2026,8,49
18084,103102,A,2026,9,85
18084,103102,A,2026,10,67
18084,103102,A,2026,11,77
18085,103102,A,2026,7,124
18085,103102,A,2026,8,116
18085,103102,A,2026,9,173
18085,103102,A,2026,10,152
18085,103102,A,2026,11,152
18086,103102,A,2026,7,107
18086,103102,A,2026,8,113
18086,103102,A,2026,9,168
18086,103102,A,2026,10,122
18086,103102,A,2026,11,150
18094,103602,B,2026,7,22
18094,103602,B,2026,8,27
18094,103602,B,2026,9,41
18094,103602,B,2026,10,69
18094,103602,B,2026,11,34
18095,103602,B,2026,7,27
18095,103602,B,2026,8,25
18095,103602,B,2026,9,35
18095,103602,B,2026,10,103
18095,103602,B,2026,11,38
18096,103602,B,2026,7,22
18096,103602,B,2026,8,17
18096,103602,B,2026,9,32
18096,103602,B,2026,10,73
