idproduto,referencia,produto,curva_abc,continuidade,linha,familia,ano,mes,ml_qtd
10496,503400,SUTIA TRIANGULO EM RENDA C/BOJO REMOV B,B,PERMANENTE,FASHION,KISS ME,2026,4,67
10786,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,1,10
10786,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,2,21
10786,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,3,14
10786,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,4,10
10787,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,1,20
10787,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,2,43
10787,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,3,28
10787,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,4,20
10788,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,1,21
10788,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,2,44
10788,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,3,29
10788,503810,SUTIA CROPPED EM RENDA KISS ME TACA B,D,PERMANENTE,FASHION,KISS ME,2026,4,20
13561,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,77
13561,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,124
13561,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,53
13561,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,33
13562,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,48
13562,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,89
13562,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,34
13562,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,22
13576,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,84
13576,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,111
