idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
38680;211703;CALCINHA FIO DENTAL EM MODAL;CANELA;GG;PERMANENTE COR NOVA;60
38678;211703;CALCINHA FIO DENTAL EM MODAL;CANELA;M;PERMANENTE COR NOVA;60
38677;211703;CALCINHA FIO DENTAL EM MODAL;CANELA;P;PERMANENTE COR NOVA;60
38683;211703;CALCINHA FIO DENTAL EM MODAL;ROUGE;G;PERMANENTE COR NOVA;60
38684;211703;CALCINHA FIO DENTAL EM MODAL;ROUGE;GG;PERMANENTE COR NOVA;60
38682;211703;CALCINHA FIO DENTAL EM MODAL;ROUGE;M;PERMANENTE COR NOVA;60
38681;211703;CALCINHA FIO DENTAL EM MODAL;ROUGE;P;PERMANENTE COR NOVA;60
38653;306602;BODY MANGA ALTA SEM MANGA EM MICRO;TRUFA;G;PERMANENTE COR NOVA;120
38654;306602;BODY MANGA ALTA SEM MANGA EM MICRO;TRUFA;GG;PERMANENTE COR NOVA;120
38652;306602;BODY MANGA ALTA SEM MANGA EM MICRO;TRUFA;M;PERMANENTE COR NOVA;120
38651;306602;BODY MANGA ALTA SEM MANGA EM MICRO;TRUFA;P;PERMANENTE COR NOVA;120
38477;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;BRANCO;42;PERMANENTE COR NOVA;40
38478;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;BRANCO;44;PERMANENTE COR NOVA;40
38479;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;BRANCO;46;PERMANENTE COR NOVA;40
38480;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;BRANCO;48;PERMANENTE COR NOVA;40
38473;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;LOVE;42;PERMANENTE COR NOVA;40
38474;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;LOVE;44;PERMANENTE COR NOVA;40
38475;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;LOVE;46;PERMANENTE COR NOVA;40
38476;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;LOVE;48;PERMANENTE COR NOVA;40
38469;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;NUDE;42;PERMANENTE COR NOVA;40
38470;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;NUDE;44;PERMANENTE COR NOVA;40
38471;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;NUDE;46;PERMANENTE COR NOVA;40
38472;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;NUDE;48;PERMANENTE COR NOVA;40
38465;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;PRETO;42;PERMANENTE COR NOVA;40
38466;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;PRETO;44;PERMANENTE COR NOVA;40
38467;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;PRETO;46;PERMANENTE COR NOVA;40
38468;503040;SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA;PRETO;48;PERMANENTE COR NOVA;40
37143;503503;TOP ALONGADO EM RENDA KISS ME;BRANCO;G;PERMANENTE COR NOVA;40
37144;503503;TOP ALONGADO EM RENDA KISS ME;BRANCO;GG;PERMANENTE COR NOVA;40
37142;503503;TOP ALONGADO EM RENDA KISS ME;BRANCO;M;PERMANENTE COR NOVA;40
37141;503503;TOP ALONGADO EM RENDA KISS ME;BRANCO;P;PERMANENTE COR NOVA;40
37151;503503;TOP ALONGADO EM RENDA KISS ME;LOVE;G;PERMANENTE COR NOVA;40
37152;503503;TOP ALONGADO EM RENDA KISS ME;LOVE;GG;PERMANENTE COR NOVA;40
37150;503503;TOP ALONGADO EM RENDA KISS ME;LOVE;M;PERMANENTE COR NOVA;40
37149;503503;TOP ALONGADO EM RENDA KISS ME;LOVE;P;PERMANENTE COR NOVA;40
37159;503503;TOP ALONGADO EM RENDA KISS ME;NUDE;G;PERMANENTE COR NOVA;40
37160;503503;TOP ALONGADO EM RENDA KISS ME;NUDE;GG;PERMANENTE COR NOVA;40
37158;503503;TOP ALONGADO EM RENDA KISS ME;NUDE;M;PERMANENTE COR NOVA;40
37157;503503;TOP ALONGADO EM RENDA KISS ME;NUDE;P;PERMANENTE COR NOVA;40
37147;503503;TOP ALONGADO EM RENDA KISS ME;PRETO;G;PERMANENTE COR NOVA;40
37148;503503;TOP ALONGADO EM RENDA KISS ME;PRETO;GG;PERMANENTE COR NOVA;40
37146;503503;TOP ALONGADO EM RENDA KISS ME;PRETO;M;PERMANENTE COR NOVA;40
37145;503503;TOP ALONGADO EM RENDA KISS ME;PRETO;P;PERMANENTE COR NOVA;40
36039;601172;CALCINHA BIQUINI IDEAL RENDA;VANILLA;G;PERMANENTE COR NOVA;40
36040;601172;CALCINHA BIQUINI IDEAL RENDA;VANILLA;GG;PERMANENTE COR NOVA;40
36038;601172;CALCINHA BIQUINI IDEAL RENDA;VANILLA;M;PERMANENTE COR NOVA;40
36037;601172;CALCINHA BIQUINI IDEAL RENDA;VANILLA;P;PERMANENTE COR NOVA;40
36035;601772;CALCINHA FIO DENTAL IDEAL RENDA;VANILLA;G;PERMANENTE COR NOVA;40
36036;601772;CALCINHA FIO DENTAL IDEAL RENDA;VANILLA;GG;PERMANENTE COR NOVA;40
36034;601772;CALCINHA FIO DENTAL IDEAL RENDA;VANILLA;M;PERMANENTE COR NOVA;40
36033;601772;CALCINHA FIO DENTAL IDEAL RENDA;VANILLA;P;PERMANENTE COR NOVA;40
38030;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;40B;PERMANENTE COR NOVA;40
38031;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;40C;PERMANENTE COR NOVA;40
38032;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;42B;PERMANENTE COR NOVA;40
38033;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;42C;PERMANENTE COR NOVA;40
38034;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;44B;PERMANENTE COR NOVA;40
38035;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;44C;PERMANENTE COR NOVA;40
