idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
36599;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;44B;PERMANENTE;40
36600;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;44C;PERMANENTE;40
36601;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;46B;PERMANENTE;40
36602;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;46C;PERMANENTE;40
36603;603022;SUTIA MEIA TACA C/ BOJO RENDA;TRUFA;48C;PERMANENTE;40
36622;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;40B;PERMANENTE;40
36623;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;40C;PERMANENTE;40
36624;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;42B;PERMANENTE;40
36625;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;42C;PERMANENTE;40
36626;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;44B;PERMANENTE;40
36627;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;44C;PERMANENTE;40
36628;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;46B;PERMANENTE;40
36629;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;46C;PERMANENTE;40
36630;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;CALLAS;48C;PERMANENTE;40
36613;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;40B;PERMANENTE;40
36614;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;40C;PERMANENTE;40
36615;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;42B;PERMANENTE;40
36616;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;42C;PERMANENTE;40
36617;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;44B;PERMANENTE;40
36618;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;44C;PERMANENTE;40
36619;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;46B;PERMANENTE;40
36620;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;46C;PERMANENTE;40
36621;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;TRUFA;48C;PERMANENTE;40
36639;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;40B;PERMANENTE;40
36640;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;42B;PERMANENTE;40
36641;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;42C;PERMANENTE;40
36642;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;44B;PERMANENTE;40
36643;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;44C;PERMANENTE;40
36644;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;46B;PERMANENTE;40
36645;603422;SUTIA TRIANGULO RENDADO IDEAL;CALLAS;46C;PERMANENTE;40
36632;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;40B;PERMANENTE;40
36633;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;42B;PERMANENTE;40
36634;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;42C;PERMANENTE;40
36635;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;44B;PERMANENTE;40
36636;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;44C;PERMANENTE;40
36637;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;46B;PERMANENTE;40
36638;603422;SUTIA TRIANGULO RENDADO IDEAL;TRUFA;46C;PERMANENTE;40
38584;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;48;PERMANENTE;120
38585;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;50;PERMANENTE;120
38586;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;52;PERMANENTE;120
38587;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;54;PERMANENTE;120
38596;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;48;PERMANENTE;120
38597;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;50;PERMANENTE;120
38598;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;52;PERMANENTE;120
38599;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;54;PERMANENTE;120
38511;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;48;PERMANENTE;120
38512;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;50;PERMANENTE;120
38513;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;52;PERMANENTE;120
38514;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;54;PERMANENTE;120
38590;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;48;PERMANENTE;120
38591;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;50;PERMANENTE;120
38592;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;52;PERMANENTE;120
38593;703016;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;54;PERMANENTE;120
38516;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;48;PERMANENTE;120
38517;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;50;PERMANENTE;120
38518;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;52;PERMANENTE;120
38519;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;CHOCOLATE;54;PERMANENTE;120
38526;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;48;PERMANENTE;120
38527;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;50;PERMANENTE;120
38528;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;52;PERMANENTE;120
38529;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;NUDE;54;PERMANENTE;120
38531;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;48;PERMANENTE;120
38532;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;50;PERMANENTE;120
38533;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;52;PERMANENTE;120
38534;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;PRETO;54;PERMANENTE;120
38536;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;48;PERMANENTE;120
38537;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;50;PERMANENTE;120
38538;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;52;PERMANENTE;120
38539;703017;SUTIA 1/2 TACA EM MICROFIBRA TACA B;TRUFA;54;PERMANENTE;120
38540;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;CHOCOLATE;48;PERMANENTE;120
38541;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;CHOCOLATE;50;PERMANENTE;120
38542;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;CHOCOLATE;52;PERMANENTE;120
38543;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;CHOCOLATE;54;PERMANENTE;120
38548;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;NUDE;48;PERMANENTE;120
38549;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;NUDE;50;PERMANENTE;120
38550;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;NUDE;52;PERMANENTE;120
38551;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;NUDE;54;PERMANENTE;120
38552;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;PRETO;48;PERMANENTE;120
38553;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;PRETO;50;PERMANENTE;120
38554;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;PRETO;52;PERMANENTE;120
38555;703018;SUTIA 1/2 TACA BASICO EM MICROFIBRA TM;PRETO;54;PERMANENTE;120
38557;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;CHOCOLATE;48;PERMANENTE;120
38558;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;CHOCOLATE;50;PERMANENTE;120
38559;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;CHOCOLATE;52;PERMANENTE;120
38562;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;PRETO;48;PERMANENTE;120
38563;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;PRETO;50;PERMANENTE;120
38564;703020;SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA;PRETO;52;PERMANENTE;120
38567;703021;SUTIA 1/2 TACA EM RENDA TACA B;NUDE;48;PERMANENTE;120
38568;703021;SUTIA 1/2 TACA EM RENDA TACA B;NUDE;50;PERMANENTE;120
38569;703021;SUTIA 1/2 TACA EM RENDA TACA B;NUDE;52;PERMANENTE;120
38570;703021;SUTIA 1/2 TACA EM RENDA TACA B;NUDE;54;PERMANENTE;120
38572;703021;SUTIA 1/2 TACA EM RENDA TACA B;PRETO;48;PERMANENTE;120
38573;703021;SUTIA 1/2 TACA EM RENDA TACA B;PRETO;50;PERMANENTE;120
38574;703021;SUTIA 1/2 TACA EM RENDA TACA B;PRETO;52;PERMANENTE;120
38575;703021;SUTIA 1/2 TACA EM RENDA TACA B;PRETO;54;PERMANENTE;120
