idproduto,mes,ano,quantidade,origem
18066,1,2026,105,"API"
18067,1,2026,203,"API"
18068,1,2026,253,"API"
18069,1,2026,190,"API"
18078,1,2026,109,"API"
18079,1,2026,214,"API"
18080,1,2026,230,"API"
18081,1,2026,155,"API"
18082,1,2026,349,"API"
18083,1,2026,383,"API"
18084,1,2026,95,"API"
18085,1,2026,191,"API"
18086,1,2026,203,"API"
18093,1,2026,37,"API"
18094,1,2026,71,"API"
18095,1,2026,84,"API"
18096,1,2026,63,"API"
18097,1,2026,60,"API"
18098,1,2026,138,"API"
18099,1,2026,163,"API"
18100,1,2026,141,"API"
18101,1,2026,23,"API"
18102,1,2026,45,"API"
18103,1,2026,55,"API"
18104,1,2026,42,"API"
18170,1,2026,72,"API"
18171,1,2026,158,"API"
18172,1,2026,187,"API"
18173,1,2026,153,"API"
18277,1,2026,111,"API"
18278,1,2026,280,"API"
18279,1,2026,190,"API"
18280,1,2026,327,"API"
18281,1,2026,17,"API"
18282,1,2026,30,"API"
18283,1,2026,35,"API"
18284,1,2026,25,"API"
18632,1,2026,18,"API"
18633,1,2026,37,"API"
18634,1,2026,45,"API"
18635,1,2026,39,"API"
18640,1,2026,30,"API"
18641,1,2026,63,"API"
18642,1,2026,108,"API"
18643,1,2026,60,"API"
18973,1,2026,14,"API"
18974,1,2026,26,"API"
18975,1,2026,21,"API"
18976,1,2026,14,"API"
18977,1,2026,16,"API"
18978,1,2026,22,"API"
18979,1,2026,19,"API"
18980,1,2026,10,"API"
18985,1,2026,13,"API"
18986,1,2026,21,"API"
18987,1,2026,17,"API"
18988,1,2026,10,"API"
19278,1,2026,29,"API"
19279,1,2026,50,"API"
19280,1,2026,49,"API"
19281,1,2026,28,"API"
19282,1,2026,47,"API"
19283,1,2026,103,"API"
19284,1,2026,73,"API"
19285,1,2026,47,"API"
19298,1,2026,59,"API"
19299,1,2026,164,"API"
19300,1,2026,136,"API"
19307,1,2026,65,"API"
19308,1,2026,156,"API"
19309,1,2026,123,"API"
19310,1,2026,67,"API"
19311,1,2026,139,"API"
19312,1,2026,81,"API"
19319,1,2026,53,"API"
19320,1,2026,124,"API"
19321,1,2026,63,"API"
19350,1,2026,11,"API"
19351,1,2026,9,"API"
19352,1,2026,12,"API"
19353,1,2026,7,"API"
19354,1,2026,13,"API"
19355,1,2026,19,"API"
19356,1,2026,18,"API"
19357,1,2026,10,"API"
19358,1,2026,18,"API"
19359,1,2026,25,"API"
19360,1,2026,11,"API"
19361,1,2026,19,"API"
19362,1,2026,23,"API"
19363,1,2026,14,"API"
19364,1,2026,10,"API"
19366,1,2026,7,"API"
19367,1,2026,48,"API"
19368,1,2026,37,"API"
19369,1,2026,18,"API"
19370,1,2026,25,"API"
19371,1,2026,10,"API"
19372,1,2026,50,"API"
19373,1,2026,72,"API"
19374,1,2026,29,"API"
19375,1,2026,58,"API"
19376,1,2026,95,"API"
19377,1,2026,60,"API"
19378,1,2026,39,"API"
19379,1,2026,26,"API"
19381,1,2026,25,"API"
19382,1,2026,182,"API"
19383,1,2026,150,"API"
19384,1,2026,93,"API"
19385,1,2026,86,"API"
19386,1,2026,32,"API"
19387,1,2026,220,"API"
19388,1,2026,252,"API"
19389,1,2026,122,"API"
19390,1,2026,212,"API"
19391,1,2026,229,"API"
19392,1,2026,14,"API"
19394,1,2026,21,"API"
19395,1,2026,37,"API"
19396,1,2026,19,"API"
19397,1,2026,17,"API"
19398,1,2026,39,"API"
19399,1,2026,62,"API"
19400,1,2026,30,"API"
19401,1,2026,12,"API"
19402,1,2026,38,"API"
19403,1,2026,64,"API"
19404,1,2026,21,"API"
19405,1,2026,39,"API"
19406,1,2026,22,"API"
19408,1,2026,55,"API"
19409,1,2026,75,"API"
19410,1,2026,45,"API"
19411,1,2026,27,"API"
19412,1,2026,115,"API"
19413,1,2026,124,"API"
19414,1,2026,53,"API"
19415,1,2026,23,"API"
19416,1,2026,91,"API"
19417,1,2026,104,"API"
19418,1,2026,40,"API"
19419,1,2026,70,"API"
19598,1,2026,13,"API"
19599,1,2026,17,"API"
19618,1,2026,114,"API"
19620,1,2026,51,"API"
19621,1,2026,55,"API"
19622,1,2026,21,"API"
19623,1,2026,32,"API"
19655,1,2026,235,"API"
19657,1,2026,132,"API"
19658,1,2026,151,"API"
21350,1,2026,27,"API"
21351,1,2026,40,"API"
21352,1,2026,36,"API"
21353,1,2026,39,"API"
21354,1,2026,61,"API"
21355,1,2026,37,"API"
21359,1,2026,25,"API"
21360,1,2026,36,"API"
