"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"35841";"601172";"CALCINHA BIQUINI IDEAL RENDA";"CALLAS";"GG";"PERMANENTE"
"35839";"601172";"CALCINHA BIQUINI IDEAL RENDA";"CALLAS";"M";"PERMANENTE"
"35838";"601172";"CALCINHA BIQUINI IDEAL RENDA";"CALLAS";"P";"PERMANENTE"
"35836";"601172";"CALCINHA BIQUINI IDEAL RENDA";"TRUFA";"G";"PERMANENTE"
"35837";"601172";"CALCINHA BIQUINI IDEAL RENDA";"TRUFA";"GG";"PERMANENTE"
"35835";"601172";"CALCINHA BIQUINI IDEAL RENDA";"TRUFA";"M";"PERMANENTE"
"35834";"601172";"CALCINHA BIQUINI IDEAL RENDA";"TRUFA";"P";"PERMANENTE"
"35776";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"CALLAS";"G";"PERMANENTE"
"35775";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"CALLAS";"M";"PERMANENTE"
"35774";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"CALLAS";"P";"PERMANENTE"
"35772";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"TRUFA";"G";"PERMANENTE"
"35771";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"TRUFA";"M";"PERMANENTE"
"35770";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"TRUFA";"P";"PERMANENTE"
"36604";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"40B";"PERMANENTE"
"36605";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"40C";"PERMANENTE"
"36606";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"42B";"PERMANENTE"
"36607";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"42C";"PERMANENTE"
"36608";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"44B";"PERMANENTE"
"36609";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"44C";"PERMANENTE"
"36610";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"46B";"PERMANENTE"
"36611";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"46C";"PERMANENTE"
"36612";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"CALLAS";"48C";"PERMANENTE"
"36595";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"40B";"PERMANENTE"
"36596";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"40C";"PERMANENTE"
"36597";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"42B";"PERMANENTE"
"36598";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"42C";"PERMANENTE"
"36599";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"44B";"PERMANENTE"
"36600";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"44C";"PERMANENTE"
"36601";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"46B";"PERMANENTE"
"36602";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"46C";"PERMANENTE"
"36603";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"TRUFA";"48C";"PERMANENTE"
"36622";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"40B";"PERMANENTE"
"36623";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"40C";"PERMANENTE"
"36624";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"42B";"PERMANENTE"
"36625";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"42C";"PERMANENTE"
"36626";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"44B";"PERMANENTE"
"36627";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"44C";"PERMANENTE"
"36628";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"46B";"PERMANENTE"
"36629";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"46C";"PERMANENTE"
"36630";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"CALLAS";"48C";"PERMANENTE"
"36613";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"40B";"PERMANENTE"
"36614";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"40C";"PERMANENTE"
"36615";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"42B";"PERMANENTE"
"36616";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"42C";"PERMANENTE"
"36617";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"44B";"PERMANENTE"
"36618";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"44C";"PERMANENTE"
"36619";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"46B";"PERMANENTE"
"36620";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"46C";"PERMANENTE"
"36621";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"TRUFA";"48C";"PERMANENTE"
"36639";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"40B";"PERMANENTE"
"36640";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"42B";"PERMANENTE"
"36641";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"42C";"PERMANENTE"
"36642";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"44B";"PERMANENTE"
"36643";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"44C";"PERMANENTE"
"36644";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"46B";"PERMANENTE"
"36645";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"CALLAS";"46C";"PERMANENTE"
"36632";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"40B";"PERMANENTE"
"36633";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"42B";"PERMANENTE"
"36634";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"42C";"PERMANENTE"
"36635";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"44B";"PERMANENTE"
"36636";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"44C";"PERMANENTE"
"36637";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"46B";"PERMANENTE"
"36638";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"TRUFA";"46C";"PERMANENTE"
"38584";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"48";"PERMANENTE"
"38585";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"50";"PERMANENTE"
"38586";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"52";"PERMANENTE"
"38587";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"54";"PERMANENTE"
"38596";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"48";"PERMANENTE"
"38597";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"50";"PERMANENTE"
"38598";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"52";"PERMANENTE"
"38599";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"54";"PERMANENTE"
"38511";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"48";"PERMANENTE"
"38512";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"50";"PERMANENTE"
"38513";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"52";"PERMANENTE"
"38514";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"54";"PERMANENTE"
"38590";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"48";"PERMANENTE"
"38591";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"50";"PERMANENTE"
"38592";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"52";"PERMANENTE"
"38593";"703016";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"54";"PERMANENTE"
"38516";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"48";"PERMANENTE"
"38517";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"50";"PERMANENTE"
"38518";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"52";"PERMANENTE"
"38519";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"CHOCOLATE";"54";"PERMANENTE"
"38526";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"48";"PERMANENTE"
"38527";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"50";"PERMANENTE"
"38528";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"52";"PERMANENTE"
"38529";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"NUDE";"54";"PERMANENTE"
"38531";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"48";"PERMANENTE"
"38532";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"50";"PERMANENTE"
"38533";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"52";"PERMANENTE"
"38534";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"PRETO";"54";"PERMANENTE"
"38536";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"48";"PERMANENTE"
"38537";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"50";"PERMANENTE"
"38538";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"52";"PERMANENTE"
"38539";"703017";"SUTIA 1/2 TACA EM MICROFIBRA TACA B";"TRUFA";"54";"PERMANENTE"
"38540";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"CHOCOLATE";"48";"PERMANENTE"
"38541";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"CHOCOLATE";"50";"PERMANENTE"
"38542";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"CHOCOLATE";"52";"PERMANENTE"
"38543";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"CHOCOLATE";"54";"PERMANENTE"
"38548";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"NUDE";"48";"PERMANENTE"
"38549";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"NUDE";"50";"PERMANENTE"
"38550";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"NUDE";"52";"PERMANENTE"
"38551";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"NUDE";"54";"PERMANENTE"
"38552";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"PRETO";"48";"PERMANENTE"
"38553";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"PRETO";"50";"PERMANENTE"
"38554";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"PRETO";"52";"PERMANENTE"
"38555";"703018";"SUTIA 1/2 TACA BASICO EM MICROFIBRA TM";"PRETO";"54";"PERMANENTE"
"38557";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"CHOCOLATE";"48";"PERMANENTE"
"38558";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"CHOCOLATE";"50";"PERMANENTE"
"38559";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"CHOCOLATE";"52";"PERMANENTE"
"38562";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"PRETO";"48";"PERMANENTE"
"38563";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"PRETO";"50";"PERMANENTE"
"38564";"703020";"SUTIA MEIA TACA COM ZIPER C/ MICROFIBRA";"PRETO";"52";"PERMANENTE"
"38567";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"NUDE";"48";"PERMANENTE"
"38568";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"NUDE";"50";"PERMANENTE"
"38569";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"NUDE";"52";"PERMANENTE"
"38570";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"NUDE";"54";"PERMANENTE"
"38572";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"PRETO";"48";"PERMANENTE"
"38573";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"PRETO";"50";"PERMANENTE"
"38574";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"PRETO";"52";"PERMANENTE"
"38575";"703021";"SUTIA 1/2 TACA EM RENDA TACA B";"PRETO";"54";"PERMANENTE"
