"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"39025";"211003";"CALCINHA LARGA EM MODAL";"ROUGE";"G";"PERMANENTE COR NOVA"
"39026";"211003";"CALCINHA LARGA EM MODAL";"ROUGE";"GG";"PERMANENTE COR NOVA"
"39024";"211003";"CALCINHA LARGA EM MODAL";"ROUGE";"M";"PERMANENTE COR NOVA"
"39023";"211003";"CALCINHA LARGA EM MODAL";"ROUGE";"P";"PERMANENTE COR NOVA"
"38671";"211303";"CALCINHA LARGA EM MODAL";"CANELA";"G";"PERMANENTE COR NOVA"
"38672";"211303";"CALCINHA LARGA EM MODAL";"CANELA";"GG";"PERMANENTE COR NOVA"
"38670";"211303";"CALCINHA LARGA EM MODAL";"CANELA";"M";"PERMANENTE COR NOVA"
"38669";"211303";"CALCINHA LARGA EM MODAL";"CANELA";"P";"PERMANENTE COR NOVA"
"38675";"211303";"CALCINHA LARGA EM MODAL";"ROUGE";"G";"PERMANENTE COR NOVA"
"38676";"211303";"CALCINHA LARGA EM MODAL";"ROUGE";"GG";"PERMANENTE COR NOVA"
"38674";"211303";"CALCINHA LARGA EM MODAL";"ROUGE";"M";"PERMANENTE COR NOVA"
"38673";"211303";"CALCINHA LARGA EM MODAL";"ROUGE";"P";"PERMANENTE COR NOVA"
"38679";"211703";"CALCINHA FIO DENTAL EM MODAL";"CANELA";"G";"PERMANENTE COR NOVA"
"38680";"211703";"CALCINHA FIO DENTAL EM MODAL";"CANELA";"GG";"PERMANENTE COR NOVA"
"38678";"211703";"CALCINHA FIO DENTAL EM MODAL";"CANELA";"M";"PERMANENTE COR NOVA"
"38677";"211703";"CALCINHA FIO DENTAL EM MODAL";"CANELA";"P";"PERMANENTE COR NOVA"
"38683";"211703";"CALCINHA FIO DENTAL EM MODAL";"ROUGE";"G";"PERMANENTE COR NOVA"
"38684";"211703";"CALCINHA FIO DENTAL EM MODAL";"ROUGE";"GG";"PERMANENTE COR NOVA"
"38682";"211703";"CALCINHA FIO DENTAL EM MODAL";"ROUGE";"M";"PERMANENTE COR NOVA"
"38681";"211703";"CALCINHA FIO DENTAL EM MODAL";"ROUGE";"P";"PERMANENTE COR NOVA"
"38653";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"TRUFA";"G";"PERMANENTE COR NOVA"
"38654";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"TRUFA";"GG";"PERMANENTE COR NOVA"
"38652";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"TRUFA";"M";"PERMANENTE COR NOVA"
"38651";"306602";"BODY MANGA ALTA SEM MANGA EM MICRO";"TRUFA";"P";"PERMANENTE COR NOVA"
