idproduto;mes;ano;quantidade;origem;updated_at
10478;8;2026;171;API;2026-08-06T13:11:37.798Z
10478;9;2026;201;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10478;10;2026;182;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10478;11;2026;128;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10478;12;2026;77;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10479;1;2026;123;API;2026-08-06T13:11:37.798Z
10479;2;2026;105;API;2026-08-06T13:11:37.798Z
10479;3;2026;144;API;2026-08-06T13:11:37.798Z
10479;4;2026;102;API;2026-08-06T13:11:37.798Z
10479;5;2026;0;API;2026-08-06T13:11:37.798Z
10479;6;2026;90;API;2026-08-06T13:11:37.798Z
10479;7;2026;129;API;2026-08-06T13:11:37.798Z
10479;8;2026;53;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10479;9;2026;72;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10479;10;2026;79;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10479;11;2026;55;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10479;12;2026;58;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10480;1;2026;121;API;2026-08-06T13:11:37.798Z
10480;2;2026;102;API;2026-08-06T13:11:37.798Z
10480;3;2026;141;API;2026-08-06T13:11:37.798Z
10480;4;2026;100;API;2026-08-06T13:11:37.798Z
10480;5;2026;116;API;2026-08-06T13:11:37.798Z
10480;6;2026;88;API;2026-08-06T13:11:37.798Z
10480;7;2026;92;API;2026-08-06T13:11:37.798Z
10480;8;2026;120;API;2026-08-06T13:11:37.798Z
10480;9;2026;144;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10480;10;2026;131;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10480;11;2026;92;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10480;12;2026;55;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10481;1;2026;175;API;2026-08-06T13:11:37.798Z
10481;2;2026;149;API;2026-08-06T13:11:37.798Z
10481;3;2026;205;API;2026-08-06T13:11:37.798Z
10481;4;2026;144;API;2026-08-06T13:11:37.798Z
10481;5;2026;169;API;2026-08-06T13:11:37.798Z
10481;6;2026;127;API;2026-08-06T13:11:37.798Z
10481;7;2026;131;API;2026-08-06T13:11:37.798Z
10481;8;2026;184;API;2026-08-06T13:11:37.798Z
10481;9;2026;191;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10481;10;2026;173;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10481;11;2026;121;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10481;12;2026;73;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10482;1;2026;147;API;2026-08-06T13:11:37.798Z
10482;2;2026;125;API;2026-08-06T13:11:37.798Z
10482;3;2026;172;API;2026-08-06T13:11:37.798Z
10482;4;2026;122;API;2026-08-06T13:11:37.798Z
10482;5;2026;142;API;2026-08-06T13:11:37.798Z
10482;6;2026;107;API;2026-08-06T13:11:37.798Z
10482;7;2026;96;API;2026-08-06T13:11:37.798Z
10482;8;2026;183;API;2026-08-06T13:11:37.798Z
10482;9;2026;138;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10482;10;2026;125;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10482;11;2026;88;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10482;12;2026;53;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10483;1;2026;92;API;2026-08-06T13:11:37.798Z
10483;2;2026;78;API;2026-08-06T13:11:37.798Z
